Name,Email,Phone,Year,Dept
Student 73,student73@example.com,9902341849,3,ME
Student 74,student74@example.com,9860665693,3,CE
Student 75,student75@example.com,9929035757,3,EE
Student 76,student76@example.com,9902346016,3,EE
Student 77,student77@example.com,9376398431,2,EE
Student 78,student78@example.com,9314640842,5,EE
Student 79,student79@example.com,9714590106,5,ME
Student 80,student80@example.com,9581782940,4,CS
Student 81,student81@example.com,9100748859,4,EE
Student 82,student82@example.com,9156638326,5,CE
Student 83,student83@example.com,9565162495,2,ME
Student 84,student84@example.com,9281693111,5,CS
Student 85,student85@example.com,9712354609,3,CS
Student 86,student86@example.com,9896706964,1,EE
Student 87,student87@example.com,9346840567,2,EE
Student 88,student88@example.com,9738945345,3,CE
Student 89,student89@example.com,9183377985,5,ME
Student 90,student90@example.com,9333186643,1,CE
Student 91,student91@example.com,9520504801,3,CS
Student 92,student92@example.com,9110188907,5,ME
Student 93,student93@example.com,9969235855,2,CS
Student 94,student94@example.com,9372688475,4,CE
Student 95,student95@example.com,9179720045,4,EE
Student 96,student96@example.com,9374505369,4,CS
Student 97,student97@example.com,9344206839,1,CE
Student 98,student98@example.com,9945190250,4,ME
Student 99,student99@example.com,9502260424,1,ME
Student 100,student100@example.com,9509968674,2,EE
Student 101,student101@example.com,9940097179,5,EE
Student 102,student102@example.com,9511826485,2,CE
Student 103,student103@example.com,9228565012,3,EE
Student 104,student104@example.com,9482073080,4,CS
Student 105,student105@example.com,9591023939,1,ME
Student 106,student106@example.com,9956159138,5,CE
Student 107,student107@example.com,9607705635,3,ME
Student 108,student108@example.com,9369277050,4,EE
Student 109,student109@example.com,9235404566,1,ME
Student 110,student110@example.com,9193471898,4,CS
Student 111,student111@example.com,9644565753,4,CS
Student 112,student112@example.com,9831575832,3,EE
Student 113,student113@example.com,9824194342,5,CE
Student 114,student114@example.com,9450985785,1,ME
Student 115,student115@example.com,9497255070,4,ME
Student 116,student116@example.com,9392563690,5,CS
Student 117,student117@example.com,9802022652,4,CS
Student 118,student118@example.com,9330175273,4,CS
Student 119,student119@example.com,9994970887,2,CE
Student 120,student120@example.com,9674778942,2,CS
Student 121,student121@example.com,9316607325,3,CS
Student 122,student122@example.com,9232012126,5,CE
Student 123,student123@example.com,9632771737,4,ME
Student 124,student124@example.com,9616923540,4,EE
Student 125,student125@example.com,9322316996,3,CE
Student 126,student126@example.com,9772073751,4,EE
Student 127,student127@example.com,9963441026,5,ME
Student 128,student128@example.com,9763645957,4,CE
Student 129,student129@example.com,9921664314,4,CE
Student 130,student130@example.com,9904580604,3,CS
Student 131,student131@example.com,9590886561,2,CE
Student 132,student132@example.com,9148465072,3,ME
Student 133,student133@example.com,9897498312,5,CS
Student 134,student134@example.com,9675135698,1,EE
Student 135,student135@example.com,9795382221,3,CE
Student 136,student136@example.com,9106303466,5,EE
Student 137,student137@example.com,9732563670,3,CS
Student 138,student138@example.com,9411105345,1,CE
Student 139,student139@example.com,9673911642,3,CE
Student 140,student140@example.com,9385725074,4,ME
Student 141,student141@example.com,9356161321,3,CE
Student 142,student142@example.com,9673849811,5,CS
Student 143,student143@example.com,9287673975,1,EE
Student 144,student144@example.com,9855327126,2,CS
Student 145,student145@example.com,9765626381,5,CE
Student 146,student146@example.com,9911794723,5,CS
Student 147,student147@example.com,9581533926,4,ME
Student 148,student148@example.com,9763056629,4,EE
Student 149,student149@example.com,9117252816,2,CE
Student 150,student150@example.com,9560471303,1,CE
Student 151,student151@example.com,9133443317,2,EE
Student 152,student152@example.com,9324765993,5,EE
Student 153,student153@example.com,9740182994,3,CE
Student 154,student154@example.com,9919649958,3,EE
Student 155,student155@example.com,9251123093,1,CS
Student 156,student156@example.com,9760547584,1,ME
Student 157,student157@example.com,9141441629,3,CE
Student 158,student158@example.com,9249674109,5,CE
Student 159,student159@example.com,9973976960,3,EE
Student 160,student160@example.com,9651712534,5,CS
Student 161,student161@example.com,9338794066,1,CS
Student 162,student162@example.com,9772300698,2,CS
Student 163,student163@example.com,9934715934,4,CE
Student 164,student164@example.com,9967757375,3,CS
Student 165,student165@example.com,9447101911,4,CS
Student 166,student166@example.com,9246969169,1,EE
Student 167,student167@example.com,9689890372,5,ME
Student 168,student168@example.com,9335489270,5,EE
Student 169,student169@example.com,9958805409,3,EE
Student 170,student170@example.com,9265786194,1,ME
Student 171,student171@example.com,9858714762,4,CE
Student 172,student172@example.com,9535291443,2,CS
Student 173,student173@example.com,9717039221,4,CE
Student 174,student174@example.com,9308348184,5,CS
Student 175,student175@example.com,9394738296,2,ME
Student 176,student176@example.com,9931174930,3,CS
Student 177,student177@example.com,9814536241,4,ME
Student 178,student178@example.com,9166473043,4,CS
Student 179,student179@example.com,9710156702,1,ME
Student 180,student180@example.com,9445355238,2,ME
Student 181,student181@example.com,9815801491,3,CE
Student 182,student182@example.com,9565560634,3,CE
Student 183,student183@example.com,9428508884,5,EE
Student 184,student184@example.com,9460745740,5,ME
Student 185,student185@example.com,9642779726,2,ME
Student 186,student186@example.com,9356457811,1,EE
Student 187,student187@example.com,9391870718,1,EE
Student 188,student188@example.com,9335172328,5,ME
Student 189,student189@example.com,9398144803,3,CS
Student 190,student190@example.com,9471075112,5,CE
Student 191,student191@example.com,9348935020,1,CS
Student 192,student192@example.com,9704045055,3,EE
Student 193,student193@example.com,9597684828,2,CE
Student 194,student194@example.com,9407246226,3,EE
Student 195,student195@example.com,9183650640,5,CE
Student 196,student196@example.com,9227331325,1,CE
Student 197,student197@example.com,9715277837,1,CE
Student 198,student198@example.com,9666416109,5,CS
Student 199,student199@example.com,9284489034,2,ME
Student 200,student200@example.com,9982860734,1,CE
Student 201,student201@example.com,9230798299,2,CE
Student 202,student202@example.com,9359951368,4,ME
Student 203,student203@example.com,9932668401,2,EE
Student 204,student204@example.com,9911142287,2,CE
Student 205,student205@example.com,9703557413,2,EE
Student 206,student206@example.com,9536974699,1,CE
Student 207,student207@example.com,9774241337,4,EE
Student 208,student208@example.com,9693638853,4,CS
Student 209,student209@example.com,9979098968,5,ME
Student 210,student210@example.com,9250300256,5,CS
Student 211,student211@example.com,9914254944,4,EE
Student 212,student212@example.com,9873230867,4,EE
Student 213,student213@example.com,9705925819,2,EE
Student 214,student214@example.com,9634176888,5,EE
Student 215,student215@example.com,9722323568,1,CE
Student 216,student216@example.com,9367167618,2,CS
Student 217,student217@example.com,9568066220,3,CE
Student 218,student218@example.com,9902648571,5,CE
Student 219,student219@example.com,9584925287,3,CE
Student 220,student220@example.com,9923371078,4,EE
Student 221,student221@example.com,9325064765,1,ME
Student 222,student222@example.com,9990886487,2,CE
Student 223,student223@example.com,9508131880,2,CE
Student 224,student224@example.com,9149643337,1,CE
Student 225,student225@example.com,9718929773,4,EE
Student 226,student226@example.com,9248100804,2,CS
Student 227,student227@example.com,9574669359,2,CE
Student 228,student228@example.com,9105160682,1,CE
Student 229,student229@example.com,9888840548,3,CE
Student 230,student230@example.com,9541096038,3,CE
Student 231,student231@example.com,9450401271,5,ME
Student 232,student232@example.com,9736229265,5,ME
Student 233,student233@example.com,9451215012,2,EE
Student 234,student234@example.com,9682511336,1,CS
Student 235,student235@example.com,9975608172,5,CE
Student 236,student236@example.com,9652424878,2,EE
Student 237,student237@example.com,9989815564,1,EE
Student 238,student238@example.com,9474667028,5,CS
Student 239,student239@example.com,9227180617,5,EE
Student 240,student240@example.com,9985560992,4,ME
Student 241,student241@example.com,9604729209,1,CE
Student 242,student242@example.com,9181855621,5,EE
Student 243,student243@example.com,9295141089,5,EE
Student 244,student244@example.com,9184523058,4,EE
Student 245,student245@example.com,9549066554,1,CE
Student 246,student246@example.com,9915157926,5,CE
Student 247,student247@example.com,9866286596,1,CE
Student 248,student248@example.com,9721330310,5,EE
Student 249,student249@example.com,9449234077,4,EE
Student 250,student250@example.com,9192988320,3,ME
Student 251,student251@example.com,9760321883,4,CS
Student 252,student252@example.com,9982212484,3,ME
Student 253,student253@example.com,9291780680,3,EE
Student 254,student254@example.com,9233865817,4,ME
Student 255,student255@example.com,9692068710,1,ME
Student 256,student256@example.com,9329302734,5,EE
Student 257,student257@example.com,9613687627,4,CE
Student 258,student258@example.com,9478677794,2,EE
Student 259,student259@example.com,9884147654,3,CE
Student 260,student260@example.com,9606056318,2,ME
Student 261,student261@example.com,9120428622,2,ME
Student 262,student262@example.com,9402786121,4,ME
Student 263,student263@example.com,9889926387,4,ME
Student 264,student264@example.com,9443085504,2,EE
Student 265,student265@example.com,9519212921,1,ME
Student 266,student266@example.com,9256081265,2,EE
Student 267,student267@example.com,9119665252,1,CS
Student 268,student268@example.com,9762764189,4,ME
Student 269,student269@example.com,9106868160,1,CE
Student 270,student270@example.com,9411979528,4,ME
Student 271,student271@example.com,9430054579,4,CE
Student 272,student272@example.com,9478317267,2,EE
Student 273,student273@example.com,9830604910,1,EE
Student 274,student274@example.com,9732916412,1,EE
Student 275,student275@example.com,9314261407,4,CS
Student 276,student276@example.com,9505114219,3,CS
Student 277,student277@example.com,9974408981,3,ME
Student 278,student278@example.com,9289865288,5,ME
Student 279,student279@example.com,9605771181,5,CE
Student 280,student280@example.com,9890575500,4,CE
Student 281,student281@example.com,9233415141,4,CE
Student 282,student282@example.com,9425628093,5,CS
Student 283,student283@example.com,9310156042,4,EE
Student 284,student284@example.com,9758206990,2,ME
Student 285,student285@example.com,9375547987,4,CE
Student 286,student286@example.com,9151367514,5,ME
Student 287,student287@example.com,9983482778,1,CS
Student 288,student288@example.com,9299887816,1,CE
Student 289,student289@example.com,9534132360,5,ME
Student 290,student290@example.com,9955271007,5,ME
Student 291,student291@example.com,9537519677,5,EE
Student 292,student292@example.com,9978906377,5,CS
Student 293,student293@example.com,9666347553,4,CE
Student 294,student294@example.com,9202606884,2,EE
Student 295,student295@example.com,9782880147,4,CE
Student 296,student296@example.com,9579455523,2,EE
Student 297,student297@example.com,9782096720,2,ME
Student 298,student298@example.com,9556272276,5,CE
Student 299,student299@example.com,9988941300,3,EE
Student 300,student300@example.com,9938566261,2,ME
Student 301,student301@example.com,9415082268,4,ME
Student 302,student302@example.com,9583867546,3,ME
Student 303,student303@example.com,9520993137,3,EE
Student 304,student304@example.com,9702318906,4,CE
Student 305,student305@example.com,9265769867,1,EE
Student 306,student306@example.com,9928623801,5,CS
Student 307,student307@example.com,9939502136,2,EE
Student 308,student308@example.com,9948734021,3,EE
Student 309,student309@example.com,9268117856,4,CS
Student 310,student310@example.com,9897825929,4,EE
Student 311,student311@example.com,9670125925,1,CE
Student 312,student312@example.com,9154237636,3,CE
Student 313,student313@example.com,9938908557,4,EE
Student 314,student314@example.com,9591365221,2,EE
Student 315,student315@example.com,9308800339,5,ME
Student 316,student316@example.com,9800797168,3,CE
Student 317,student317@example.com,9479677671,3,CE
Student 318,student318@example.com,9624691116,5,CS
Student 319,student319@example.com,9377939296,1,CS
Student 320,student320@example.com,9275486164,4,CE
Student 321,student321@example.com,9389051075,5,EE
Student 322,student322@example.com,9358161378,4,ME
Student 323,student323@example.com,9938126524,5,EE
Student 324,student324@example.com,9512861963,1,CS
Student 325,student325@example.com,9750613854,3,CS
Student 326,student326@example.com,9388879075,5,CE
Student 327,student327@example.com,9531701229,1,CS
Student 328,student328@example.com,9394635313,1,EE
Student 329,student329@example.com,9107944891,1,ME
Student 330,student330@example.com,9828412403,4,CS
Student 331,student331@example.com,9535841519,4,CS
Student 332,student332@example.com,9324571333,4,CS
Student 333,student333@example.com,9375326644,3,EE
Student 334,student334@example.com,9290519185,1,CS
Student 335,student335@example.com,9705517433,2,CS
Student 336,student336@example.com,9912344609,5,EE
Student 337,student337@example.com,9939980890,3,CE
Student 338,student338@example.com,9198187858,5,ME
Student 339,student339@example.com,9766688560,3,EE
Student 340,student340@example.com,9471759702,1,ME
Student 341,student341@example.com,9707628530,4,CE
Student 342,student342@example.com,9413783521,1,EE
Student 343,student343@example.com,9311877646,3,EE
Student 344,student344@example.com,9292825049,2,ME
Student 345,student345@example.com,9883468891,2,EE
Student 346,student346@example.com,9535052966,3,CS
Student 347,student347@example.com,9728999560,5,CS
Student 348,student348@example.com,9959044127,1,ME
Student 349,student349@example.com,9149978139,2,ME
Student 350,student350@example.com,9988258311,5,ME
Student 351,student351@example.com,9654886950,2,CS
Student 352,student352@example.com,9150340970,3,EE
Student 353,student353@example.com,9229824471,2,EE
Student 354,student354@example.com,9112130545,3,CE
Student 355,student355@example.com,9849719685,1,ME
Student 356,student356@example.com,9770653746,4,CS
Student 357,student357@example.com,9764584283,5,CS
Student 358,student358@example.com,9321968406,2,CE
Student 359,student359@example.com,9578049041,4,CS
Student 360,student360@example.com,9495528236,1,ME
Student 361,student361@example.com,9422418014,3,ME
Student 362,student362@example.com,9306547583,4,ME
Student 363,student363@example.com,9448411005,5,CS
Student 364,student364@example.com,9875894123,3,EE
Student 365,student365@example.com,9982474059,3,CE
Student 366,student366@example.com,9426242696,3,CS
Student 367,student367@example.com,9934234018,5,ME
Student 368,student368@example.com,9293249994,5,CE
Student 369,student369@example.com,9229804209,2,EE
Student 370,student370@example.com,9951617780,4,ME
Student 371,student371@example.com,9564370325,3,EE
Student 372,student372@example.com,9744945897,4,CS
Student 373,student373@example.com,9957036476,3,EE
Student 374,student374@example.com,9940826286,3,CE
Student 375,student375@example.com,9506578741,2,CS
Student 376,student376@example.com,9472270268,1,CS
Student 377,student377@example.com,9111560573,3,CS
Student 378,student378@example.com,9298108255,4,CE
Student 379,student379@example.com,9261390832,1,EE
Student 380,student380@example.com,9867004157,4,EE
Student 381,student381@example.com,9643609793,3,CS
Student 382,student382@example.com,9163799028,2,ME
Student 383,student383@example.com,9926284846,3,CS
Student 384,student384@example.com,9778646640,2,EE
Student 385,student385@example.com,9901238060,2,EE
Student 386,student386@example.com,9906856603,5,ME
Student 387,student387@example.com,9488604236,1,ME
Student 388,student388@example.com,9635714503,4,EE
Student 389,student389@example.com,9402806699,1,CE
Student 390,student390@example.com,9976679678,1,CS
Student 391,student391@example.com,9668570823,4,CS
Student 392,student392@example.com,9201360487,3,CS
Student 393,student393@example.com,9177115263,2,CE
Student 394,student394@example.com,9332961619,1,CS
Student 395,student395@example.com,9377611557,3,EE
Student 396,student396@example.com,9420036219,3,EE
Student 397,student397@example.com,9745023320,1,EE
Student 398,student398@example.com,9164461249,3,CS
Student 399,student399@example.com,9149072313,4,ME
Student 400,student400@example.com,9107581484,3,ME
Student 401,student401@example.com,9263077009,4,CE
Student 402,student402@example.com,9511949600,5,CE
Student 403,student403@example.com,9941163392,5,CE
Student 404,student404@example.com,9131013455,1,ME
Student 405,student405@example.com,9392228335,1,EE
Student 406,student406@example.com,9956086118,1,ME
Student 407,student407@example.com,9819344547,1,CS
Student 408,student408@example.com,9884017071,5,ME
Student 409,student409@example.com,9154569603,4,ME
Student 410,student410@example.com,9118456628,5,CS
Student 411,student411@example.com,9140525266,1,CE
Student 412,student412@example.com,9906027550,1,CE
Student 413,student413@example.com,9627585191,2,CS
Student 414,student414@example.com,9222788775,4,CS
Student 415,student415@example.com,9691735998,4,ME
Student 416,student416@example.com,9445410702,4,ME
Student 417,student417@example.com,9380771169,3,ME
Student 418,student418@example.com,9336186351,5,EE
Student 419,student419@example.com,9497624073,5,EE
Student 420,student420@example.com,9721736082,2,EE
Student 421,student421@example.com,9942607829,2,CS
Student 422,student422@example.com,9353793955,4,ME
Student 423,student423@example.com,9415856044,2,ME
Student 424,student424@example.com,9705982255,4,CE
Student 425,student425@example.com,9928901874,4,EE
Student 426,student426@example.com,9787784923,1,EE
Student 427,student427@example.com,9309287236,1,CE
Student 428,student428@example.com,9288935230,4,ME
Student 429,student429@example.com,9690413571,5,CS
Student 430,student430@example.com,9361058537,4,EE
Student 431,student431@example.com,9980477514,1,CE
Student 432,student432@example.com,9632502704,4,CS
Student 433,student433@example.com,9384558548,1,ME
Student 434,student434@example.com,9149317829,3,CS
Student 435,student435@example.com,9895974491,3,CE
Student 436,student436@example.com,9156212916,3,CE
Student 437,student437@example.com,9934675494,1,CE
Student 438,student438@example.com,9403890401,1,CS
Student 439,student439@example.com,9979941147,5,CE
Student 440,student440@example.com,9160996870,4,ME
Student 441,student441@example.com,9753061844,5,ME
Student 442,student442@example.com,9330666870,5,CE
Student 443,student443@example.com,9694900042,5,ME
Student 444,student444@example.com,9155400618,4,ME
Student 445,student445@example.com,9415764174,2,EE
Student 446,student446@example.com,9911493715,3,ME
Student 447,student447@example.com,9864553004,3,EE
Student 448,student448@example.com,9515490918,5,CS
Student 449,student449@example.com,9998690083,1,CE
Student 450,student450@example.com,9911645241,2,EE
Student 451,student451@example.com,9375178834,4,CS
Student 452,student452@example.com,9960926762,2,CE
Student 453,student453@example.com,9344431359,5,CS
Student 454,student454@example.com,9975427016,4,CE
Student 455,student455@example.com,9513089665,4,CE
Student 456,student456@example.com,9651612436,2,EE
Student 457,student457@example.com,9636734637,1,EE
Student 458,student458@example.com,9270539138,5,CS
Student 459,student459@example.com,9728517702,5,ME
Student 460,student460@example.com,9467094426,4,CE
Student 461,student461@example.com,9131250676,3,CE
Student 462,student462@example.com,9897953289,3,ME
Student 463,student463@example.com,9200469272,1,CE
Student 464,student464@example.com,9989878807,5,CS
Student 465,student465@example.com,9131527822,3,CE
Student 466,student466@example.com,9776428277,2,EE
Student 467,student467@example.com,9754172732,1,CE
Student 468,student468@example.com,9684797144,3,ME
Student 469,student469@example.com,9596334299,1,ME
Student 470,student470@example.com,9888767144,1,EE
Student 471,student471@example.com,9266546926,4,CE
Student 472,student472@example.com,9235955720,4,ME
Student 473,student473@example.com,9723115324,1,ME
Student 474,student474@example.com,9143031275,4,EE
Student 475,student475@example.com,9606551304,5,CS
Student 476,student476@example.com,9399987182,4,EE
Student 477,student477@example.com,9123139023,4,CS
Student 478,student478@example.com,9981760920,4,CE
Student 479,student479@example.com,9503223211,3,ME
Student 480,student480@example.com,9867217654,4,ME
Student 481,student481@example.com,9358151395,3,EE
Student 482,student482@example.com,9291593876,4,CS
Student 483,student483@example.com,9663580120,3,CS
Student 484,student484@example.com,9289117952,5,CE
Student 485,student485@example.com,9661727500,4,CS
Student 486,student486@example.com,9389433194,2,EE
Student 487,student487@example.com,9879384746,3,CS
Student 488,student488@example.com,9885344204,2,CE
Student 489,student489@example.com,9451811343,4,CS
Student 490,student490@example.com,9776257515,4,CE
Student 491,student491@example.com,9808640065,5,EE
Student 492,student492@example.com,9377596606,4,EE
Student 493,student493@example.com,9653679730,1,CE
Student 494,student494@example.com,9145198027,5,ME
Student 495,student495@example.com,9813520021,2,CE
Student 496,student496@example.com,9170663544,1,EE
Student 497,student497@example.com,9308422552,4,CS
Student 498,student498@example.com,9142029675,4,EE
Student 499,student499@example.com,9698750916,1,ME
Student 500,student500@example.com,9123385743,1,CE
Student 501,student501@example.com,9352792277,3,ME
Student 502,student502@example.com,9785020776,3,EE
Student 503,student503@example.com,9475746567,3,ME
Student 504,student504@example.com,9322636831,3,ME
Student 505,student505@example.com,9133358218,2,ME
Student 506,student506@example.com,9954063501,1,CE
Student 507,student507@example.com,9832503782,2,EE
Student 508,student508@example.com,9903653432,4,ME
Student 509,student509@example.com,9393339059,4,CS
Student 510,student510@example.com,9668983349,5,CS
Student 511,student511@example.com,9142155380,1,ME
Student 512,student512@example.com,9694564105,5,EE
Student 513,student513@example.com,9762577636,5,CE
Student 514,student514@example.com,9720831140,2,ME
Student 515,student515@example.com,9311881366,1,ME
Student 516,student516@example.com,9816864115,2,CS
Student 517,student517@example.com,9823450828,4,CS
Student 518,student518@example.com,9956379994,3,ME
Student 519,student519@example.com,9919985431,4,CE
Student 520,student520@example.com,9657410436,4,EE
Student 521,student521@example.com,9830128692,1,EE
Student 522,student522@example.com,9889192454,4,CS
Student 523,student523@example.com,9184190342,3,ME
Student 524,student524@example.com,9271663255,5,ME
Student 525,student525@example.com,9670052781,3,EE
Student 526,student526@example.com,9287279460,3,CE
Student 527,student527@example.com,9309156239,4,EE
Student 528,student528@example.com,9989099083,4,CS
Student 529,student529@example.com,9968672073,4,CS
Student 530,student530@example.com,9903383790,2,EE
Student 531,student531@example.com,9446898242,3,CE
Student 532,student532@example.com,9106723474,2,CE
Student 533,student533@example.com,9548728501,3,CE
Student 534,student534@example.com,9787667793,4,CS
Student 535,student535@example.com,9214078083,1,ME
Student 536,student536@example.com,9655954338,2,CE
Student 537,student537@example.com,9537732768,3,EE
Student 538,student538@example.com,9673322504,2,CE
Student 539,student539@example.com,9911722656,2,ME
Student 540,student540@example.com,9162835263,3,ME
Student 541,student541@example.com,9433106152,2,CS
Student 542,student542@example.com,9502978052,5,EE
Student 543,student543@example.com,9417367357,3,CS
Student 544,student544@example.com,9724281626,2,CE
Student 545,student545@example.com,9580884140,5,ME
Student 546,student546@example.com,9354289065,5,EE
Student 547,student547@example.com,9267371129,1,CS
Student 548,student548@example.com,9260688386,3,EE
Student 549,student549@example.com,9311004432,5,ME
Student 550,student550@example.com,9453020448,3,CS
Student 551,student551@example.com,9945447266,1,CS
Student 552,student552@example.com,9133424227,1,ME
Student 553,student553@example.com,9374636344,2,ME
Student 554,student554@example.com,9936533375,2,CE
Student 555,student555@example.com,9633881640,1,ME
Student 556,student556@example.com,9276289947,4,CS
Student 557,student557@example.com,9907439339,3,ME
Student 558,student558@example.com,9812127893,1,CE
Student 559,student559@example.com,9709627683,3,CE
Student 560,student560@example.com,9935718804,2,EE
Student 561,student561@example.com,9121654288,4,CS
Student 562,student562@example.com,9359761965,3,EE
Student 563,student563@example.com,9135278989,4,CS
Student 564,student564@example.com,9715538571,4,CS
Student 565,student565@example.com,9229211070,3,CE
Student 566,student566@example.com,9516976179,4,CE
Student 567,student567@example.com,9179723849,1,CS
Student 568,student568@example.com,9323164934,4,CS
Student 569,student569@example.com,9967887335,5,ME
Student 570,student570@example.com,9486009167,3,CS
Student 571,student571@example.com,9160008675,3,CE
Student 572,student572@example.com,9211243569,4,ME
Student 573,student573@example.com,9203000659,3,ME
Student 574,student574@example.com,9272308328,1,ME
Student 575,student575@example.com,9689266163,3,CS
Student 576,student576@example.com,9810981447,5,CS
Student 577,student577@example.com,9267066051,5,CE
Student 578,student578@example.com,9580442212,3,ME
Student 579,student579@example.com,9655686431,4,CE
Student 580,student580@example.com,9784876882,4,ME
Student 581,student581@example.com,9769193751,1,CE
Student 582,student582@example.com,9661563453,3,ME
Student 583,student583@example.com,9612494887,4,CS
Student 584,student584@example.com,9198455722,5,EE
Student 585,student585@example.com,9134491826,4,EE
Student 586,student586@example.com,9625230825,2,ME
Student 587,student587@example.com,9703032882,1,EE
Student 588,student588@example.com,9218289274,1,CE
Student 589,student589@example.com,9499654446,5,CE
Student 590,student590@example.com,9202931592,5,CS
Student 591,student591@example.com,9648553287,4,CE
Student 592,student592@example.com,9430945299,2,CE
Student 593,student593@example.com,9553247801,4,EE
Student 594,student594@example.com,9259104559,3,CE
Student 595,student595@example.com,9997789683,5,CS
Student 596,student596@example.com,9730019445,2,ME
Student 597,student597@example.com,9735785952,4,EE
Student 598,student598@example.com,9124480814,5,EE
Student 599,student599@example.com,9104918591,2,CS
Student 600,student600@example.com,9231362892,4,CE
Student 601,student601@example.com,9991342991,2,CS
Student 602,student602@example.com,9449666134,2,EE
Student 603,student603@example.com,9139619016,1,EE
Student 604,student604@example.com,9843970836,4,EE
Student 605,student605@example.com,9898132915,3,EE
Student 606,student606@example.com,9576280193,3,ME
Student 607,student607@example.com,9526938141,3,CS
Student 608,student608@example.com,9321491927,5,CS
Student 609,student609@example.com,9627837349,4,ME
Student 610,student610@example.com,9202443604,1,ME
Student 611,student611@example.com,9400337746,1,CE
Student 612,student612@example.com,9195738589,3,CS
Student 613,student613@example.com,9374934967,4,CE
Student 614,student614@example.com,9407981960,2,EE
Student 615,student615@example.com,9143780349,5,ME
Student 616,student616@example.com,9435687839,4,CS
Student 617,student617@example.com,9364381255,2,ME
Student 618,student618@example.com,9894283087,3,ME
Student 619,student619@example.com,9807466453,5,CE
Student 620,student620@example.com,9761221965,2,CS
Student 621,student621@example.com,9735630419,3,ME
Student 622,student622@example.com,9580945511,1,CE
Student 623,student623@example.com,9360606277,2,CE
Student 624,student624@example.com,9130992417,3,ME
Student 625,student625@example.com,9286294582,4,CS
Student 626,student626@example.com,9710677569,1,ME
Student 627,student627@example.com,9231277629,5,EE
Student 628,student628@example.com,9126669389,3,CS
Student 629,student629@example.com,9745100157,1,ME
Student 630,student630@example.com,9717107840,3,CS
Student 631,student631@example.com,9477976607,5,EE
Student 632,student632@example.com,9966330919,1,EE
Student 633,student633@example.com,9942606758,2,CE
